size,data_structure,operation,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
1000,vector,push_back,0,42,0.00000360,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
1000,vector,push_back,1,43,0.00000102,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
1000,vector,push_back,2,44,0.00000098,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,vector,push_back,0,42,0.00000562,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,vector,push_back,1,43,0.00000158,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,vector,push_back,2,44,0.00000137,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,vector,push_back,0,42,0.00000716,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,vector,push_back,1,43,0.00000242,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,vector,push_back,2,44,0.00000237,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,vector,push_back,0,42,0.00000387,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,vector,push_back,1,43,0.00000323,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,vector,push_back,2,44,0.00000390,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,vector,push_back,0,42,0.00001524,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,vector,push_back,1,43,0.00000388,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,vector,push_back,2,44,0.00000389,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
6000,vector,push_back,0,42,0.00000859,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
6000,vector,push_back,1,43,0.00000434,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
6000,vector,push_back,2,44,0.00000542,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
7000,vector,push_back,0,42,0.00000597,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
7000,vector,push_back,1,43,0.00000493,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
7000,vector,push_back,2,44,0.00000484,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
