size,data_structure,operation,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
1000,vector,push_back,0,42,0.00000265,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
1000,vector,push_back,1,43,0.00000106,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
1000,vector,push_back,2,44,0.00000094,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
2000,vector,push_back,0,42,0.00000557,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
2000,vector,push_back,1,43,0.00000160,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
2000,vector,push_back,2,44,0.00000169,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
3000,vector,push_back,0,42,0.00000852,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
3000,vector,push_back,1,43,0.00000247,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
3000,vector,push_back,2,44,0.00000217,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
4000,vector,push_back,0,42,0.00000410,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
4000,vector,push_back,1,43,0.00000295,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
4000,vector,push_back,2,44,0.00000275,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
5000,vector,push_back,0,42,0.00002209,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
5000,vector,push_back,1,43,0.00000387,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
5000,vector,push_back,2,44,0.00000408,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
6000,vector,push_back,0,42,0.00000820,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
6000,vector,push_back,1,43,0.00000453,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
6000,vector,push_back,2,44,0.00000542,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
7000,vector,push_back,0,42,0.00000649,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
7000,vector,push_back,1,43,0.00000530,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
7000,vector,push_back,2,44,0.00000526,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
8000,vector,push_back,0,42,0.00000676,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
8000,vector,push_back,1,43,0.00000637,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
8000,vector,push_back,2,44,0.00000615,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
9000,vector,push_back,0,42,0.00002020,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
9000,vector,push_back,1,43,0.00001047,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
9000,vector,push_back,2,44,0.00001019,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
