size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2,naive,0,42,0.00000398,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,naive,1,43,0.00000016,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,naive,2,44,0.00000010,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,naive,0,42,0.00000261,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,naive,1,43,0.00000140,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,naive,2,44,0.00000102,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,naive,0,42,0.00001381,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,naive,1,43,0.00000800,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,naive,2,44,0.00000679,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,naive,0,42,0.00006525,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,naive,1,43,0.00005535,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,naive,2,44,0.00005550,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,naive,0,42,0.00055268,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,naive,1,43,0.00042277,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,naive,2,44,0.00044810,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,naive,0,42,0.00360192,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,naive,1,43,0.00348769,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,naive,2,44,0.00340067,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,naive,0,42,0.02099902,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,naive,1,43,0.01808435,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,naive,2,44,0.01406310,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,naive,0,42,0.13269392,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,naive,1,43,0.13845846,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,naive,2,44,0.15413283,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,strassen,0,42,0.00000060,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,strassen,1,43,0.00000006,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,strassen,2,44,0.00000006,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,strassen,0,42,0.00000226,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,strassen,1,43,0.00000086,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,strassen,2,44,0.00000048,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,strassen,0,42,0.00000603,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,strassen,1,43,0.00009060,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,strassen,2,44,0.00000489,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,strassen,0,42,0.00003458,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,strassen,1,43,0.00014771,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,strassen,2,44,0.00005042,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,strassen,0,42,0.00027565,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,strassen,1,43,0.00029665,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,strassen,2,44,0.00025782,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,strassen,0,42,0.00362947,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,strassen,1,43,0.00397847,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,strassen,2,44,0.00351398,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,strassen,0,42,0.01617893,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,strassen,1,43,0.01740273,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,strassen,2,44,0.01630985,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,strassen,0,42,0.12969817,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,strassen,1,43,0.12406839,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,strassen,2,44,0.12295191,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,blocked,0,42,0.00000069,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,blocked,1,43,0.00000013,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,blocked,2,44,0.00000011,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,blocked,0,42,0.00000035,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,blocked,1,43,0.00000017,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,blocked,2,44,0.00000014,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,blocked,0,42,0.00000070,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,blocked,1,43,0.00000066,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,blocked,2,44,0.00000066,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,blocked,0,42,0.00000372,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,blocked,1,43,0.00000331,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,blocked,2,44,0.00000319,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,blocked,0,42,0.00002255,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,blocked,1,43,0.00002172,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,blocked,2,44,0.00002157,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,blocked,0,42,0.00022400,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,blocked,1,43,0.00022043,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,blocked,2,44,0.00021961,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,blocked,0,42,0.00207430,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,blocked,1,43,0.00136294,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,blocked,2,44,0.00107383,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,blocked,0,42,0.01365036,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,blocked,1,43,0.01428056,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,blocked,2,44,0.01447240,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,blocked_opt,0,42,0.00000053,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,blocked_opt,1,43,0.00000019,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
2,blocked_opt,2,44,0.00000015,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,blocked_opt,0,42,0.00000051,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,blocked_opt,1,43,0.00000019,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
4,blocked_opt,2,44,0.00000016,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,blocked_opt,0,42,0.00000066,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,blocked_opt,1,43,0.00000048,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
8,blocked_opt,2,44,0.00000043,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,blocked_opt,0,42,0.00000301,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,blocked_opt,1,43,0.00000265,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
16,blocked_opt,2,44,0.00000251,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,blocked_opt,0,42,0.00001657,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,blocked_opt,1,43,0.00001539,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
32,blocked_opt,2,44,0.00001537,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,blocked_opt,0,42,0.00012720,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,blocked_opt,1,43,0.00012537,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
64,blocked_opt,2,44,0.00012956,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,blocked_opt,0,42,0.00110614,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,blocked_opt,1,43,0.00065928,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
128,blocked_opt,2,44,0.00061648,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,blocked_opt,0,42,0.00512657,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,blocked_opt,1,43,0.00704176,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
256,blocked_opt,2,44,0.00760158,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 12:54:33","INOVAI-NB-8"
