size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
1000,separate,random,0,42,0.000000265,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
1000,simultaneous,random,0,42,0.000000327,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
2000,separate,random,0,42,0.000000129,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
2000,simultaneous,random,0,42,0.000000604,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
3000,separate,random,0,42,0.000000183,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
3000,simultaneous,random,0,42,0.000000894,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
4000,separate,random,0,42,0.000000231,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
4000,simultaneous,random,0,42,0.000001191,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
5000,separate,random,0,42,0.000000288,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
5000,simultaneous,random,0,42,0.000001544,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
6000,separate,random,0,42,0.000000338,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
6000,simultaneous,random,0,42,0.000001856,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
7000,separate,random,0,42,0.000000390,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
7000,simultaneous,random,0,42,0.000002155,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
8000,separate,random,0,42,0.000000439,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
8000,simultaneous,random,0,42,0.000002459,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
