size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
1000,não simultaneo,random,0,42,0.000000343,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,simultaneo,random,0,42,0.000000235,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,não simultaneo,random,1,43,0.000000070,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,simultaneo,random,1,43,0.000000217,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,não simultaneo,random,2,44,0.000000071,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,simultaneo,random,2,44,0.000000216,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,não simultaneo,random,3,45,0.000000070,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,simultaneo,random,3,45,0.000000217,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,não simultaneo,random,4,46,0.000000072,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
1000,simultaneo,random,4,46,0.000000216,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
2000,não simultaneo,random,0,42,0.000000140,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
2000,simultaneo,random,0,42,0.000000458,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
2000,não simultaneo,random,1,43,0.000000120,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
2000,simultaneo,random,1,43,0.000000426,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
2000,não simultaneo,random,2,44,0.000000118,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
2000,simultaneo,random,2,44,0.000000430,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
