size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2,naive,0,42,0.00000029,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,naive,1,43,0.00000007,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,naive,2,44,0.00000004,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,naive,0,42,0.00000117,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,naive,1,43,0.00000062,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,naive,2,44,0.00000044,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,naive,0,42,0.00000511,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,naive,1,43,0.00000360,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,naive,2,44,0.00000327,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,naive,0,42,0.00003029,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,naive,1,43,0.00002651,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,naive,2,44,0.00002598,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,naive,0,42,0.00022272,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,naive,1,43,0.00020302,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,naive,2,44,0.00022977,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,naive,0,42,0.00187497,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,naive,1,43,0.00171733,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,naive,2,44,0.00177778,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,naive,0,42,0.01511593,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,naive,1,43,0.01543626,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
