size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2,naive,0,42,0.00000356,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
2,naive,1,43,0.00000023,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
2,naive,2,44,0.00000010,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
4,naive,0,42,0.00000310,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
4,naive,1,43,0.00000190,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
4,naive,2,44,0.00000099,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
8,naive,0,42,0.00001306,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
8,naive,1,43,0.00000956,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
8,naive,2,44,0.00000843,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
16,naive,0,42,0.00007808,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
16,naive,1,43,0.00006975,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
16,naive,2,44,0.00006777,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
32,naive,0,42,0.00052031,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
32,naive,1,43,0.00048948,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
32,naive,2,44,0.00020450,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
64,naive,0,42,0.00181445,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
