size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2,naive,0,42,0.00000268,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,naive,1,43,0.00000006,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,naive,2,44,0.00000004,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,naive,0,42,0.00000142,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,naive,1,43,0.00000063,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,naive,2,44,0.00000043,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,naive,0,42,0.00000529,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,naive,1,43,0.00000420,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,naive,2,44,0.00000358,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,naive,0,42,0.00002899,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,naive,1,43,0.00002629,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,naive,2,44,0.00002542,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,naive,0,42,0.00023056,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,naive,1,43,0.00020710,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,naive,2,44,0.00023779,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,naive,0,42,0.00186706,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,naive,1,43,0.00178737,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,naive,2,44,0.00170983,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,naive,0,42,0.01413954,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,naive,1,43,0.01426339,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,naive,2,44,0.01430350,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,naive,0,42,0.11795214,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,naive,1,43,0.11719876,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,naive,2,44,0.11784836,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,strassen,0,42,0.00000028,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,strassen,1,43,0.00000006,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,strassen,2,44,0.00000005,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,strassen,0,42,0.00000161,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,strassen,1,43,0.00000052,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,strassen,2,44,0.00000038,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,strassen,0,42,0.00000431,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,strassen,1,43,0.00000385,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,strassen,2,44,0.00000326,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,strassen,0,42,0.00012093,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,strassen,1,43,0.00002589,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,strassen,2,44,0.00002564,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,strassen,0,42,0.00020594,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,strassen,1,43,0.00020863,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,strassen,2,44,0.00023148,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,strassen,0,42,0.00187078,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,strassen,1,43,0.00190532,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,strassen,2,44,0.00206165,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,strassen,0,42,0.01358775,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,strassen,1,43,0.01438415,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,strassen,2,44,0.01295082,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,strassen,0,42,0.09548121,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,strassen,1,43,0.09509067,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,strassen,2,44,0.09369925,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,blocked,0,42,0.00000034,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
