size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
100,selection_sort,nearly_sorted,0,42,0.00000258,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
100,selection_sort,nearly_sorted,1,43,0.00000258,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
100,selection_sort,nearly_sorted,2,44,0.00000242,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
500,selection_sort,nearly_sorted,0,42,0.00004429,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
500,selection_sort,nearly_sorted,1,43,0.00004388,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
500,selection_sort,nearly_sorted,2,44,0.00004389,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
1000,selection_sort,nearly_sorted,0,42,0.00016835,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
1000,selection_sort,nearly_sorted,1,43,0.00016835,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
1000,selection_sort,nearly_sorted,2,44,0.00016777,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,selection_sort,nearly_sorted,0,42,0.00103265,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,selection_sort,nearly_sorted,1,43,0.00103764,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,selection_sort,nearly_sorted,2,44,0.00101244,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,selection_sort,nearly_sorted,0,42,0.00400945,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,selection_sort,nearly_sorted,1,43,0.00427076,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,selection_sort,nearly_sorted,2,44,0.00418148,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,selection_sort,nearly_sorted,0,42,0.00971166,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
