size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
100,selection_sort,ordered,0,42,0.00000477,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,selection_sort,ordered,1,43,0.00000223,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,selection_sort,ordered,2,44,0.00000217,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,selection_sort,ordered,0,42,0.00004329,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,selection_sort,ordered,1,43,0.00004301,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,selection_sort,ordered,2,44,0.00004289,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,selection_sort,ordered,0,42,0.00016906,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,selection_sort,ordered,1,43,0.00016716,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,selection_sort,ordered,2,44,0.00017683,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,selection_sort,ordered,0,42,0.00108461,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,selection_sort,ordered,1,43,0.00106088,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,selection_sort,ordered,2,44,0.00096029,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,selection_sort,ordered,0,42,0.00419542,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,selection_sort,ordered,1,43,0.00430312,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,selection_sort,ordered,2,44,0.00438852,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,selection_sort,ordered,0,42,0.00946798,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,selection_sort,ordered,1,43,0.00986169,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,selection_sort,ordered,2,44,0.00976047,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,selection_sort,ordered,0,42,0.01671008,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,selection_sort,ordered,1,43,0.01691810,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,selection_sort,ordered,2,44,0.01911599,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,insertion_sort,ordered,0,42,0.00000019,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,insertion_sort,ordered,1,43,0.00000012,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,insertion_sort,ordered,2,44,0.00000011,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
