size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
100,selection_sort,reverse,0,42,0.00000558,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,selection_sort,reverse,1,43,0.00000306,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,selection_sort,reverse,2,44,0.00000284,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,selection_sort,reverse,0,42,0.00004518,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,selection_sort,reverse,1,43,0.00004509,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,selection_sort,reverse,2,44,0.00004503,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,selection_sort,reverse,0,42,0.00016882,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,selection_sort,reverse,1,43,0.00016904,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,selection_sort,reverse,2,44,0.00016868,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,selection_sort,reverse,0,42,0.00108391,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,selection_sort,reverse,1,43,0.00099527,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,selection_sort,reverse,2,44,0.00100077,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,selection_sort,reverse,0,42,0.00410730,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,selection_sort,reverse,1,43,0.00417815,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,selection_sort,reverse,2,44,0.00506644,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,selection_sort,reverse,0,42,0.00960865,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,selection_sort,reverse,1,43,0.00946926,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,selection_sort,reverse,2,44,0.00917360,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,selection_sort,reverse,0,42,0.01651502,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,selection_sort,reverse,1,43,0.01674070,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,selection_sort,reverse,2,44,0.01657988,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,insertion_sort,reverse,0,42,0.00000226,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,insertion_sort,reverse,1,43,0.00000204,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,insertion_sort,reverse,2,44,0.00000185,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,insertion_sort,reverse,0,42,0.00003432,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,insertion_sort,reverse,1,43,0.00003422,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
