size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
1000,chaining,insert,0,42,0.000028022,0,"load_factor=0.7003;collisions=222;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,open_addressing,insert,0,42,0.000020691,0,"load_factor=0.7003;total_probes=2118;max_cluster=31","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,chaining,insert,1,43,0.000011963,0,"load_factor=0.7003;collisions=227;max_chain=4","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,open_addressing,insert,1,43,0.000017439,0,"load_factor=0.7003;total_probes=1939;max_cluster=41","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,chaining,insert,2,44,0.000031872,0,"load_factor=0.7003;collisions=220;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,open_addressing,insert,2,44,0.000016205,0,"load_factor=0.7003;total_probes=2082;max_cluster=40","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,chaining,insert,3,45,0.000011254,0,"load_factor=0.7003;collisions=230;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,open_addressing,insert,3,45,0.000016922,0,"load_factor=0.7003;total_probes=2258;max_cluster=47","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,chaining,insert,4,46,0.000011825,0,"load_factor=0.7003;collisions=225;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
1000,open_addressing,insert,4,46,0.000016212,0,"load_factor=0.7003;total_probes=2078;max_cluster=45","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,chaining,insert,0,42,0.000022402,0,"load_factor=0.7000;collisions=447;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,open_addressing,insert,0,42,0.000032627,0,"load_factor=0.7000;total_probes=4489;max_cluster=65","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,chaining,insert,1,43,0.000021252,0,"load_factor=0.7000;collisions=454;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,open_addressing,insert,1,43,0.000033104,0,"load_factor=0.7000;total_probes=3954;max_cluster=49","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,chaining,insert,2,44,0.000021536,0,"load_factor=0.7000;collisions=460;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,open_addressing,insert,2,44,0.000034183,0,"load_factor=0.7000;total_probes=4316;max_cluster=68","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,chaining,insert,3,45,0.000022683,0,"load_factor=0.7000;collisions=437;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,open_addressing,insert,3,45,0.000032584,0,"load_factor=0.7000;total_probes=4118;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,chaining,insert,4,46,0.000022545,0,"load_factor=0.7000;collisions=452;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
2000,open_addressing,insert,4,46,0.000033020,0,"load_factor=0.7000;total_probes=4066;max_cluster=37","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
