size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
1000,linear_probing,insert,0,42,0.000016252,2118,"load_factor=0.7003;probes=2118;avg_probes=2.12;max_cluster=31","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,double_hashing,insert,0,42,0.000018084,1788,"load_factor=0.7003;probes=1788;avg_probes=1.79;max_cluster=18","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,linear_probing,insert,1,43,0.000015545,1939,"load_factor=0.7003;probes=1939;avg_probes=1.94;max_cluster=41","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,double_hashing,insert,1,43,0.000020019,1757,"load_factor=0.7003;probes=1757;avg_probes=1.76;max_cluster=14","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,linear_probing,insert,2,44,0.000016540,2082,"load_factor=0.7003;probes=2082;avg_probes=2.08;max_cluster=40","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,double_hashing,insert,2,44,0.000019676,1726,"load_factor=0.7003;probes=1726;avg_probes=1.73;max_cluster=15","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,linear_probing,insert,3,45,0.000016891,2258,"load_factor=0.7003;probes=2258;avg_probes=2.26;max_cluster=47","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,double_hashing,insert,3,45,0.000022385,3192,"load_factor=0.6996;probes=3192;avg_probes=1.77;max_cluster=16","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,linear_probing,insert,4,46,0.000015698,2078,"load_factor=0.7003;probes=2078;avg_probes=2.08;max_cluster=45","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
1000,double_hashing,insert,4,46,0.000021856,3198,"load_factor=0.6996;probes=3198;avg_probes=1.77;max_cluster=16","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,linear_probing,insert,0,42,0.000031952,4489,"load_factor=0.7000;probes=4489;avg_probes=2.24;max_cluster=65","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,double_hashing,insert,0,42,0.000036964,3581,"load_factor=0.7000;probes=3581;avg_probes=1.79;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,linear_probing,insert,1,43,0.000029881,3954,"load_factor=0.7000;probes=3954;avg_probes=1.98;max_cluster=49","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,double_hashing,insert,1,43,0.000036881,3504,"load_factor=0.7000;probes=3504;avg_probes=1.75;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,linear_probing,insert,2,44,0.000031742,4316,"load_factor=0.7000;probes=4316;avg_probes=2.16;max_cluster=68","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,double_hashing,insert,2,44,0.000038069,3545,"load_factor=0.7000;probes=3545;avg_probes=1.77;max_cluster=18","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,linear_probing,insert,3,45,0.000031007,4118,"load_factor=0.7000;probes=4118;avg_probes=2.06;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,double_hashing,insert,3,45,0.000037435,3491,"load_factor=0.7000;probes=3491;avg_probes=1.75;max_cluster=20","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,linear_probing,insert,4,46,0.000324839,4066,"load_factor=0.7000;probes=4066;avg_probes=2.03;max_cluster=37","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
2000,double_hashing,insert,4,46,0.000047898,3448,"load_factor=0.7000;probes=3448;avg_probes=1.72;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,linear_probing,insert,0,42,0.000052990,6985,"load_factor=0.7001;probes=6985;avg_probes=2.33;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,double_hashing,insert,0,42,0.000057514,5344,"load_factor=0.7001;probes=5344;avg_probes=1.78;max_cluster=19","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,linear_probing,insert,1,43,0.000089802,6316,"load_factor=0.7001;probes=6316;avg_probes=2.11;max_cluster=43","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,double_hashing,insert,1,43,0.000056125,5184,"load_factor=0.7001;probes=5184;avg_probes=1.73;max_cluster=33","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,linear_probing,insert,2,44,0.000047474,6383,"load_factor=0.7001;probes=6383;avg_probes=2.13;max_cluster=70","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,double_hashing,insert,2,44,0.000056751,5187,"load_factor=0.7001;probes=5187;avg_probes=1.73;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,linear_probing,insert,3,45,0.000048099,6465,"load_factor=0.7001;probes=6465;avg_probes=2.15;max_cluster=61","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,double_hashing,insert,3,45,0.000055334,5097,"load_factor=0.7001;probes=5097;avg_probes=1.70;max_cluster=28","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,linear_probing,insert,4,46,0.000047973,6513,"load_factor=0.7001;probes=6513;avg_probes=2.17;max_cluster=63","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,double_hashing,insert,4,46,0.000064505,9594,"load_factor=0.6999;probes=9594;avg_probes=1.77;max_cluster=19","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,0,42,0.000064238,9405,"load_factor=0.7000;probes=9405;avg_probes=2.35;max_cluster=120","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,0,42,0.000075077,7032,"load_factor=0.7000;probes=7032;avg_probes=1.76;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,1,43,0.000061813,8240,"load_factor=0.7000;probes=8240;avg_probes=2.06;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,1,43,0.000073565,6847,"load_factor=0.7000;probes=6847;avg_probes=1.71;max_cluster=36","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,2,44,0.000063654,8526,"load_factor=0.7000;probes=8526;avg_probes=2.13;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,2,44,0.000086080,12738,"load_factor=0.6999;probes=12738;avg_probes=1.76;max_cluster=19","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,3,45,0.000063735,8537,"load_factor=0.7000;probes=8537;avg_probes=2.13;max_cluster=56","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,3,45,0.000074464,6988,"load_factor=0.7000;probes=6988;avg_probes=1.75;max_cluster=23","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,4,46,0.000063958,8501,"load_factor=0.7000;probes=8501;avg_probes=2.13;max_cluster=65","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,4,46,0.000075852,7079,"load_factor=0.7000;probes=7079;avg_probes=1.77;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,0,42,0.000082663,11739,"load_factor=0.7001;probes=11739;avg_probes=2.35;max_cluster=132","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,0,42,0.000123507,22990,"load_factor=0.6998;probes=22990;avg_probes=1.74;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,1,43,0.000081165,10546,"load_factor=0.7001;probes=10546;avg_probes=2.11;max_cluster=60","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,1,43,0.000096225,8526,"load_factor=0.7001;probes=8526;avg_probes=1.71;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,2,44,0.000080655,10655,"load_factor=0.7001;probes=10655;avg_probes=2.13;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,2,44,0.000094507,8730,"load_factor=0.7001;probes=8730;avg_probes=1.75;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,3,45,0.000079886,10841,"load_factor=0.7001;probes=10841;avg_probes=2.17;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,3,45,0.000095680,8772,"load_factor=0.7001;probes=8772;avg_probes=1.75;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,4,46,0.000079236,10541,"load_factor=0.7001;probes=10541;avg_probes=2.11;max_cluster=91","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,4,46,0.000102140,8662,"load_factor=0.7001;probes=8662;avg_probes=1.73;max_cluster=22","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,0,42,0.000097052,13852,"load_factor=0.7000;probes=13852;avg_probes=2.31;max_cluster=98","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,0,42,0.000103602,10509,"load_factor=0.7000;probes=10509;avg_probes=1.75;max_cluster=22","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,1,43,0.000095174,12541,"load_factor=0.7000;probes=12541;avg_probes=2.09;max_cluster=66","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,1,43,0.000116148,10444,"load_factor=0.7000;probes=10444;avg_probes=1.74;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,2,44,0.000102064,12843,"load_factor=0.7000;probes=12843;avg_probes=2.14;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,2,44,0.000109061,10330,"load_factor=0.7000;probes=10330;avg_probes=1.72;max_cluster=23","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,3,45,0.000099888,12897,"load_factor=0.7000;probes=12897;avg_probes=2.15;max_cluster=70","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,3,45,0.000108734,10467,"load_factor=0.7000;probes=10467;avg_probes=1.74;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,4,46,0.000101381,12946,"load_factor=0.7000;probes=12946;avg_probes=2.16;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,4,46,0.000109290,10436,"load_factor=0.7000;probes=10436;avg_probes=1.74;max_cluster=21","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,0,42,0.000116257,15944,"load_factor=0.7000;probes=15944;avg_probes=2.28;max_cluster=103","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,double_hashing,insert,0,42,0.000134999,12272,"load_factor=0.7000;probes=12272;avg_probes=1.75;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,1,43,0.000117380,14846,"load_factor=0.7000;probes=14846;avg_probes=2.12;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
